pali_1000|kulaṃ nāma: cattāri kulāni. khattiya kulaṃ brāhmaṇa kulaṃ vessakulaṃ suddakulaṃ.|කුලං නාම: චත්තාරි කුලානි. ඛත්තිය කුලං බ්රාහ්මණ කුලං වෙස්සකුලං සුද්දකුලං.|mettananda|paragraph
pali_1001|upasampanno anupasampannassa sutvā anupasampannassa pesuññaṃ upasaṃharati āpatti dukkaṭassa.|උපසම්පන්නො අනුපසම්පන්නස්ස සුත්වා අනුපසම්පන්නස්ස පෙසුඤ්ඤං උපසංහරති ආපත්ති දුක්කටස්ස.|mettananda|paragraph
pali_1002|piṭṭhicakkassa dasamaṃ gamanaṃ niṭṭhitaṃ.|පිට්ඨිචක්කස්ස දසමං ගමනං නිට්ඨිතං.|mettananda|centered
pali_1003|paṭiññātakaraṇaṃ siyā kusalaṃ. siyā akusalaṃ. siyā abyākataṃ.|පටිඤ්ඤාතකරණං සියා කුසලං. සියා අකුසලං. සියා අබ්යාකතං.|mettananda|paragraph
pali_1004|aṅgāni bahuṃ suttaṃ pariyādiyanti.|අඞ්ගානි බහුං සුත්තං පරියාදියන්ති.|mettananda|paragraph
pali_1005|'idha pana bhikkhave, vassaṃ vutthānaṃ bhikkhūnaṃ anuppanne cīvare saṅgho bhijjati. tattha manussā ekasmiṃ pakkhe udakaṃ denti, tasmiṃyeva pakkhe cīvaraṃ denti 'saṅghassa demā'ti, saṅghassevetaṃ.|'ඉධ පන භික්ඛවෙ, වස්සං වුත්ථානං භික්ඛූනං අනුප්පන්නෙ චීවරෙ සඞ්ඝො භිජ්ජති. තත්ථ මනුස්සා එකස්මිං පක්ඛෙ උදකං දෙන්ති, තස්මිංයෙව පක්ඛෙ චීවරං දෙන්ති 'සඞ්ඝස්ස දෙමා'ති, සඞ්ඝස්සෙවෙතං.|mettananda|paragraph
pali_1006|'anujānāmi bhikkhave piṭṭhisaṅghāṭaṃ udukkhalikaṃ uttarapāsakanti.'|'අනුජානාමි භික්ඛවෙ පිට්ඨිසඞ්ඝාටං උදුක්ඛලිකං උත්තරපාසකන්ති.'|mettananda|paragraph
pali_1007|anissajjite anissajjitasaññā paribhuñjati āpatti pācittiyassa. anissajjite vematikā paribhuñjati āpatti pācittiyassa. anissajjite nissajjitasaññā paribhuñjati āpatti pācittiyassa.|අනිස්සජ්ජිතෙ අනිස්සජ්ජිතසඤ්ඤා පරිභුඤ්ජති ආපත්ති පාචිත්තියස්ස. අනිස්සජ්ජිතෙ වෙමතිකා පරිභුඤ්ජති ආපත්ති පාචිත්තියස්ස. අනිස්සජ්ජිතෙ නිස්සජ්ජිතසඤ්ඤා පරිභුඤ්ජති ආපත්ති පාචිත්තියස්ස.|mettananda|paragraph
pali_1008|dubbacassa bhikkhuno yāvatatiyaṃ samanubhāsanā nappaṭinissajjantassa saṅghādiseso kattha paññattoti : kosambiyaṃ paññatto.|දුබ්බචස්ස භික්ඛුනො යාවතතියං සමනුභාසනා නප්පටිනිස්සජ්ජන්තස්ස සඞ්ඝාදිසෙසො කත්ථ පඤ්ඤත්තොති : කොසම්බියං පඤ්ඤත්තො.|mettananda|paragraph
pali_1009|visame kaṭhinaṃ pattharanti. kaṭhinaṃ paribhijjati.|විසමෙ කඨිනං පත්ථරන්ති. කඨිනං පරිභිජ්ජති.|mettananda|paragraph
pali_1010|'anujānāmi bhikkhave ālindaṃ paghanaṃ pakuḍḍaṃ osārakanti.'|'අනුජානාමි භික්ඛවෙ ආලින්දං පඝනං පකුඩ්ඩං ඔසාරකන්ති.'|mettananda|paragraph
pali_1011|'anujānāmi bhikkhave tantakaṃ vemakaṃ vaṭṭaṃ salākaṃ sabbaṃ tantabhaṇḍakanti.'.|'අනුජානාමි භික්ඛවෙ තන්තකං වෙමකං වට්ටං සලාකං සබ්බං තන්තභණ්ඩකන්ති.'.|mettananda|paragraph
pali_1012|anādariyaṃ paṭicca uppathena gacchantena pathena gacchantassa dhammaṃ desentassa dukkaṭaṃ.|අනාදරියං පටිච්ච උප්පථෙන ගච්ඡන්තෙන පථෙන ගච්ඡන්තස්ස ධම්මං දෙසෙන්තස්ස දුක්කටං.|mettananda|paragraph
pali_1013|'kathaṃ bhaṇe mahāmattehi mati katā?'ti.|'කථං භණෙ මහාමත්තෙහි මති කතා?'ති.|mettananda|paragraph
pali_1014|'tehi ce bhikkhave, bhikkhūhi pavāriyamāne agilāno agilānassa pavāraṇaṃ ṭhapeti, ubho saṅghena samanuyuñjitvā samanugāhitvā samanubhāsitvā yathādhammaṃ kārāpetvā saṅghena pavāretabba'nti.|'තෙහි චෙ භික්ඛවෙ, භික්ඛූහි පවාරියමානෙ අගිලානො අගිලානස්ස පවාරණං ඨපෙති, උභො සඞ්ඝෙන සමනුයුඤ්ජිත්වා සමනුගාහිත්වා සමනුභාසිත්වා යථාධම්මං කාරාපෙත්වා සඞ්ඝෙන පවාරෙතබ්බ'න්ති.|mettananda|paragraph
pali_1015|tāni mahārāja bhummattharaṇaṃ karissāmāti.|තානි මහාරාජ භුම්මත්ථරණං කරිස්සාමාති.|mettananda|paragraph
